Fecha,Hora,ID,temperatura,humedad
2025-08-05,02:36:13.763,89,21.5,85.0
2025-08-05,02:38:13.574,90,21.5,85.0
2025-08-05,02:40:13.590,91,21.5,84.0
2025-08-05,02:42:13.608,92,21.5,84.0
2025-08-05,02:44:13.726,93,21.5,85.0
2025-08-05,02:46:13.745,94,21.5,85.0
2025-08-05,02:48:13.760,95,21.5,85.0
2025-08-05,02:50:13.776,96,21.5,85.0
2025-08-05,02:52:13.791,97,21.5,85.0
2025-08-05,02:54:13.708,98,21.5,85.0
2025-08-05,02:56:13.722,99,21.5,85.0
2025-08-05,02:58:13.740,100,21.5,85.0
2025-08-05,03:00:13.655,101,21.5,85.0
2025-08-05,03:02:13.669,102,21.5,85.0
2025-08-05,03:04:13.788,103,21.5,85.0
2025-08-05,03:06:13.806,104,21.5,85.0
2025-08-05,03:08:13.638,105,21.4,85.0
2025-08-05,03:10:13.839,106,21.6,84.0
2025-08-05,03:12:13.856,107,21.5,85.0
2025-08-05,03:14:13.770,108,21.4,85.0
2025-08-05,03:16:13.682,109,21.4,85.0
2025-08-05,03:18:13.698,110,21.5,85.0
2025-08-05,03:20:13.714,111,21.4,85.0
2025-08-05,03:22:14.037,112,21.5,85.0
2025-08-05,03:24:13.870,113,21.5,85.0
2025-08-05,03:26:13.876,114,21.4,85.0
2025-08-05,03:28:13.881,115,21.5,85.0
2025-08-05,03:30:13.797,116,21.5,85.0
2025-08-05,03:32:13.813,117,21.4,85.0
2025-08-05,03:34:13.829,118,21.5,85.0
2025-08-05,03:36:13.744,119,21.5,85.0
2025-08-05,03:38:13.762,120,21.5,85.0
2025-08-05,03:40:13.776,121,21.6,85.0
2025-08-05,03:42:13.896,122,21.5,85.0
2025-08-05,03:44:13.914,123,21.4,85.0
2025-08-05,03:46:13.828,124,21.5,85.0
2025-08-05,03:48:13.947,125,21.5,85.0
2025-08-05,03:50:13.963,126,21.5,85.0
2025-08-05,03:52:13.877,127,21.4,85.0
2025-08-05,03:54:13.891,128,21.5,85.0
2025-08-05,03:56:13.908,129,21.5,85.0
2025-08-05,03:58:13.822,130,21.4,85.0
2025-08-05,04:00:13.838,131,21.5,85.0
2025-08-05,04:02:13.957,132,21.4,85.0
2025-08-05,04:04:13.872,133,21.4,85.0
2025-08-05,04:06:13.888,134,21.6,85.0
2025-08-05,04:08:13.905,135,21.7,85.0
2025-08-05,04:10:13.921,136,21.5,85.0
2025-08-05,04:12:13.936,137,21.4,85.0
2025-08-05,04:14:13.853,138,21.6,85.0
2025-08-05,04:16:13.971,139,21.5,85.0
2025-08-05,04:18:13.986,140,21.4,85.0
2025-08-05,04:20:14.002,141,21.5,85.0
2025-08-05,04:22:13.919,142,21.4,85.0
2025-08-05,04:24:13.935,143,21.4,85.0
2025-08-05,04:26:13.952,144,21.3,85.0
2025-08-05,04:28:14.071,145,21.4,85.0
2025-08-05,04:30:13.882,146,21.4,84.0
2025-08-05,04:32:13.899,147,21.5,85.0
2025-08-05,04:34:13.913,148,21.4,85.0
2025-08-05,04:36:13.930,149,21.5,85.0
2025-08-05,04:38:13.946,150,21.4,85.0
2025-08-05,04:40:13.964,151,21.5,84.0
2025-08-05,04:42:13.980,152,21.6,84.0
2025-08-05,04:44:14.098,153,21.4,84.0
2025-08-05,04:46:14.116,154,21.5,85.0
2025-08-05,04:48:13.926,155,21.4,84.0
2025-08-05,04:50:14.046,156,21.4,84.0
2025-08-05,04:52:14.064,157,21.4,84.0
2025-08-05,04:54:14.080,158,21.5,84.0
2025-08-05,04:56:14.094,159,21.4,84.0
2025-08-05,04:58:14.110,160,21.4,84.0
2025-08-05,05:00:14.029,161,21.5,84.0
2025-08-05,05:02:14.042,162,21.4,84.0
2025-08-05,05:04:14.058,163,21.5,84.0
2025-08-05,05:06:13.971,164,21.4,84.0
2025-08-05,05:08:13.988,165,21.4,84.0
2025-08-05,05:10:14.007,166,21.5,84.0
2025-08-05,05:12:14.021,167,21.4,84.0
2025-08-05,05:14:14.039,168,21.5,84.0
2025-08-05,05:16:14.056,169,21.4,84.0
2025-08-05,05:18:14.073,170,21.4,84.0
2025-08-05,05:20:14.090,171,21.4,84.0
2025-08-05,05:22:14.104,172,21.4,84.0
2025-08-05,05:24:14.120,173,21.5,84.0
2025-08-05,05:26:14.036,174,21.5,84.0
2025-08-05,05:28:14.051,175,21.4,84.0
2025-08-05,05:30:14.067,176,21.5,84.0
2025-08-05,05:32:14.083,177,21.4,84.0
2025-08-05,05:34:14.101,178,21.4,84.0
2025-08-05,05:36:14.116,179,21.4,84.0
2025-08-05,05:38:14.133,180,21.3,84.0
2025-08-05,05:40:14.150,181,21.4,84.0
2025-08-05,05:42:14.166,182,21.4,84.0
2025-08-05,05:44:14.183,183,21.4,84.0
2025-08-05,05:46:14.200,184,21.4,84.0
2025-08-05,05:48:14.217,185,21.5,84.0
2025-08-05,05:50:14.232,186,21.4,84.0
2025-08-05,05:52:14.252,187,21.5,84.0
2025-08-05,05:54:14.267,188,21.4,84.0
2025-08-05,05:56:14.086,189,21.4,84.0
2025-08-05,05:58:14.196,190,21.4,84.0
2025-08-05,06:00:14.215,191,21.5,84.0
2025-08-05,06:02:14.229,192,21.4,84.0
2025-08-05,06:04:14.245,193,21.4,84.0
2025-08-05,06:06:14.262,194,21.4,84.0
2025-08-05,06:08:14.278,195,21.4,84.0
2025-08-05,06:10:14.294,196,21.4,84.0
2025-08-05,06:12:14.311,197,21.4,84.0
2025-08-05,06:14:14.327,198,21.4,84.0
2025-08-05,06:16:14.241,199,21.4,84.0
2025-08-05,06:18:14.260,200,21.5,84.0
2025-08-05,06:20:14.277,201,21.4,84.0
2025-08-05,06:22:14.294,202,21.4,84.0
2025-08-05,06:24:14.310,203,21.4,84.0
2025-08-05,06:26:14.224,204,21.4,84.0
2025-08-05,06:28:14.240,205,21.4,84.0
2025-08-05,06:30:14.357,206,21.4,84.0
2025-08-05,06:32:14.373,207,21.4,84.0
2025-08-05,06:34:14.390,208,21.4,84.0
2025-08-05,06:36:14.406,209,21.4,84.0
2025-08-05,06:38:14.217,210,21.4,84.0
2025-08-05,06:40:14.234,211,21.4,84.0
2025-08-05,06:42:14.353,212,21.5,84.0
2025-08-05,06:44:14.372,213,21.4,84.0
2025-08-05,06:46:14.284,214,21.4,84.0
2025-08-05,06:48:14.300,215,21.4,84.0
2025-08-05,06:50:14.316,216,21.4,84.0
2025-08-05,06:52:14.332,217,21.3,84.0
2025-08-05,06:54:14.350,218,21.4,84.0
2025-08-05,06:56:14.366,219,21.4,84.0
2025-08-05,06:58:14.382,220,21.4,84.0
2025-08-05,07:00:14.401,221,21.4,84.0
2025-08-05,07:02:14.312,222,21.4,84.0
2025-08-05,07:04:14.431,223,21.5,84.0
2025-08-05,07:06:14.450,224,21.4,84.0
2025-08-05,07:08:14.465,225,21.5,84.0
2025-08-05,07:10:14.483,226,21.4,84.0
2025-08-05,07:12:14.500,227,21.4,84.0
2025-08-05,07:14:14.412,228,21.4,84.0
2025-08-05,07:16:14.429,229,21.4,84.0
2025-08-05,07:18:14.447,230,21.5,84.0
2025-08-05,07:20:14.464,231,21.4,84.0
2025-08-05,07:22:14.477,232,21.4,84.0
2025-08-05,07:24:14.392,233,21.5,84.0
2025-08-05,07:26:14.407,234,21.5,84.0
2025-08-05,07:28:14.424,235,21.3,84.0
2025-08-05,07:30:14.442,236,21.4,84.0
2025-08-05,07:32:14.457,237,21.5,84.0
2025-08-05,07:34:14.474,238,21.4,84.0
2025-08-05,07:36:14.386,239,21.4,84.0
2025-08-05,07:38:14.402,240,21.4,84.0
2025-08-05,07:40:14.524,241,21.4,84.0
2025-08-05,07:42:14.540,242,21.5,84.0
2025-08-05,07:44:14.556,243,21.4,84.0
2025-08-05,07:46:14.472,244,21.5,84.0
2025-08-05,07:48:14.488,245,21.6,84.0
2025-08-05,07:50:14.503,246,21.4,84.0
2025-08-05,07:52:14.522,247,21.4,84.0
2025-08-05,07:54:14.538,248,21.4,84.0
2025-08-05,07:56:14.553,249,21.4,84.0
